x,y,z,gtx,gty
0,0,0,0,0
0.022297,-0.00440659,0.00651411,0,0
0.0588832,-0.00118086,0.00683994,0,0
0.0817852,-0.00463471,0.010611,0,0
0.107095,-0.00782936,0.0127858,0,0
0.136511,-0.00701267,0.00851276,0,0
0.16194,-0.0100555,0.0110777,0,0
0.186576,-0.0160741,0.0190569,0,0
0.209608,-0.0215983,0.0249736,0,0
0.209608,-0.0215983,0.0249736,0,0
0.209608,-0.0215983,0.0249736,0,0
0.236488,-0.0727213,0.0491722,0,0
0.242003,-0.0986968,0.078494,0,0
0.246173,-0.130978,0.111782,0,0
0.276613,-0.138052,0.125375,0,0
0.305348,-0.132699,0.118814,0,0
0.331335,-0.139376,0.12471,0,0
0.35624,-0.146912,0.131377,0,0
0.380051,-0.146643,0.137187,0,0
0.380051,-0.146643,0.137187,0,0
0.405306,-0.159554,0.144282,0,0
0.427128,-0.180251,0.157376,0,0
0.450284,-0.200239,0.165792,0,0
0.482586,-0.231833,0.183208,0,0
0.492763,-0.250543,0.219949,0,0
0.512366,-0.281423,0.228955,0,0
0.512366,-0.281423,0.228955,0,0
0.524857,-0.317333,0.23589,0,0
0.537896,-0.354948,0.241603,0,0
0.537896,-0.354948,0.241603,0,0
0.547638,-0.40246,0.248477,0,0
0.557119,-0.451147,0.254188,0,0
0.568742,-0.500751,0.25994,0,0
0.568742,-0.500751,0.25994,0,0
0.604534,-0.487192,0.258519,0,0
0.639315,-0.470413,0.255874,0,0
0.639315,-0.470413,0.255874,0,0
0.662398,-0.490065,0.253441,0,0
0.662398,-0.490065,0.253441,0,0
0.694443,-0.484116,0.251738,0,0
0.694443,-0.484116,0.251738,0,0
0.715231,-0.516769,0.248846,0,0
0.715231,-0.516769,0.248846,0,0
0.740435,-0.52851,0.246147,0,0
0.740435,-0.52851,0.246147,0,0
0.740435,-0.52851,0.246147,0,0
0.740435,-0.52851,0.246147,0,0
0.740435,-0.52851,0.246147,0,0
0.740435,-0.52851,0.246147,0,0
0.740435,-0.52851,0.246147,0,0
0.740435,-0.52851,0.246147,0,0
0.771925,-0.512039,0.248159,0,0
0.80284,-0.516352,0.249072,0,0
0.832314,-0.522402,0.249623,0,0
0.862061,-0.520397,0.248487,0,0
0.862061,-0.520397,0.248487,0,0
0.888655,-0.515433,0.247869,0,0
0.888655,-0.515433,0.247869,0,0
0.888655,-0.515433,0.247869,0,0
0.913608,-0.519151,0.244161,0,0
0.93849,-0.527045,0.238685,0,0
0.962576,-0.539386,0.231635,0,0
0.984681,-0.548887,0.223541,0,0
1.00621,-0.561366,0.213103,0,0
1.03124,-0.581236,0.198648,0,0
1.03124,-0.581236,0.198648,0,0
1.05803,-0.606116,0.18124,0,0
1.05803,-0.606116,0.18124,0,0
1.07857,-0.627465,0.1631,0,0
1.07857,-0.627465,0.1631,0,0
1.10297,-0.648556,0.134991,0,0
1.12309,-0.670061,0.123593,0,0
