x,y,z,gtx,gty
0,0,0,3.8354,0.014524
0.00093622,-0.000383203,0.00164228,3.8354,0.014531
0.00136886,-0.00058872,0.00127671,3.8354,0.014523
0.00621334,-0.00311479,0.00465609,3.8354,0.014491
0.00699867,-0.00136877,0.00098396,3.8354,0.014507
0.00909754,0.00371878,-0.00533475,3.8353,0.014469
0.00799053,0.005899,-0.00759411,3.8354,0.014502
0.00301472,0.00446774,-0.0109204,3.8354,0.014494
0.00313254,0.00225156,-0.00790751,3.8354,0.014533
0.00914227,0.00321573,-0.00695292,3.835,0.014717
0.00914227,0.00321573,-0.00695292,3.8353,0.014776
0.00315225,0.0228407,-0.0135081,3.8354,0.014539
0.00167172,0.0257885,-0.0143479,3.8179,0.01284
-0.0158394,0.0164984,0.000415832,3.7895,0.011875
-0.0268864,-0.00963674,0.0497815,3.7566,0.012729
-0.0406565,-0.0321103,0.104795,3.7207,0.014945
-0.0582907,-0.0512898,0.147418,3.6863,0.016921
-0.0658554,-0.0752988,0.211293,3.6521,0.017237
-0.0767544,-0.0821136,0.230356,3.6165,0.017616
-0.091501,-0.0994905,0.266488,3.5816,0.017785
-0.0956137,-0.112843,0.304871,3.5465,0.018003
-0.0945798,-0.115247,0.309309,3.5093,0.018925
-0.104483,-0.121276,0.330141,3.4774,0.021129
-0.111015,-0.136623,0.349131,3.4451,0.023486
-0.114546,-0.153125,0.37443,3.4096,0.025963
-0.132776,-0.175635,0.422019,3.3751,0.026929
-0.136354,-0.193233,0.445433,3.3361,0.027794
-0.155341,-0.217909,0.509476,3.2951,0.030684
-0.173178,-0.240765,0.562753,3.2569,0.033461
-0.179803,-0.262425,0.606568,3.2177,0.035234
-0.183916,-0.27098,0.619187,3.1829,0.037033
-0.190115,-0.272689,0.635285,3.146,0.039171
-0.151554,-0.229259,0.529291,3.1118,0.042163
-0.151554,-0.229259,0.529291,3.0733,0.04577
-0.290708,-0.287124,0.705265,3.0371,0.048869
-0.296506,-0.297931,0.823989,3.0131,0.053152
-0.296506,-0.297931,0.823989,2.9836,0.06373
-0.296506,-0.297931,0.823989,2.9418,0.069563
-0.296506,-0.297931,0.823989,2.8938,0.052893
