time,x,y
0.21517,0,0
0.21579,7.9131e-06,6.0152e-06
0.21846,-1.0785e-05,-3.2157e-06
0.22861,2.2829e-05,-9.3692e-06
0.23867,-1.4526e-05,-1.8492e-05
0.24906,-1.3699e-05,7.0485e-06
0.25861,1.2769e-06,3.4909e-06
0.26935,-1.679e-05,6.9969e-06
0.28376,-1.4522e-05,1.1595e-06
0.29042,-8.6731e-07,1.3319e-06
0.30135,-1.6678e-05,3.0653e-05
0.30936,2.1361e-05,7.9582e-07
0.31854,-2.5227e-05,2.3618e-05
0.32803,-2.8115e-07,1.7219e-06
0.33838,1.1557e-05,-1.4137e-06
0.34792,-1.3482e-05,9.0519e-06
0.35913,1.4039e-05,1.1398e-06
0.36941,-2.1987e-05,1.2982e-05
0.38235,-1.3105e-06,1.7647e-05
0.40333,-3.9208e-05,8.2121e-06
0.41061,-7.6447e-06,-1.5979e-05
0.42046,-1.8108e-05,2.6244e-05
0.43034,-1.9386e-05,-5.8632e-06
0.44276,-6.1983e-06,1.9173e-06
0.45003,-1.5384e-05,-4.2208e-06
0.46023,-5.2781e-05,1.7004e-05
0.4756,-1.9263e-05,1.2271e-05
0.48111,-2.5317e-06,3.1011e-05
0.49309,-8.3152e-06,-1.8782e-06
0.50009,-1.2762e-05,7.4303e-06
0.51073,2.0255e-07,2.3156e-05
0.52103,-2.5294e-05,1.6208e-05
0.53097,-1.3781e-05,6.5069e-08
0.54069,-2.1328e-05,1.0625e-05
0.55057,1.8834e-05,-7.1806e-06
0.56061,-1.759e-06,3.2609e-05
0.57118,4.8277e-06,-1.7044e-05
0.58108,-2.1512e-05,6.2078e-07
0.59256,-2.3031e-05,2.0654e-05
0.60307,-2.2315e-05,9.6127e-06
0.61136,-1.9919e-06,-4.2257e-06
0.62185,-1.6848e-05,1.9121e-05
0.63154,-1.9684e-05,1.5471e-05
0.64214,3.6005e-05,-9.8054e-06
0.65273,-1.5814e-05,1.7023e-05
0.66174,1.9014e-06,9.1293e-06
0.67194,-5.7739e-07,1.7607e-05
0.68161,-2.3042e-05,-5.8397e-06
0.69174,-1.1789e-05,2.3675e-07
0.70189,-2.7386e-06,1.2097e-05
0.71258,-5.4847e-06,2.0694e-05
0.72228,-1.3799e-06,2.2608e-05
0.73201,2.3618e-06,1.0758e-05
0.74184,3.9295e-06,-5.2981e-06
0.75217,5.2423e-07,3.682e-06
0.76237,-4.0942e-06,1.5864e-05
0.77202,-4.0564e-06,-1.5845e-05
0.78204,-1.7729e-05,2.0348e-05
0.7915,-1.5075e-05,4.1324e-06
0.8022,1.4391e-06,1.2581e-06
0.8128,-6.8328e-06,1.5127e-05
0.82236,2.1458e-05,-1.4299e-05
0.83246,-7.8408e-06,1.0654e-05
0.84189,-2.1222e-05,-1.2937e-05
0.85435,1.8471e-05,-8.2629e-06
0.86205,-1.3035e-05,1.0649e-05
0.87253,-3.6402e-06,6.3844e-06
0.88227,-6.1156e-06,-1.3798e-05
0.8926,-8.0142e-06,1.3041e-05
0.90215,-5.3113e-06,4.1313e-07
0.91223,3.0929e-07,-1.4702e-05
0.92221,1.673e-06,7.6261e-06
0.93206,2.0039e-07,-5.9005e-06
0.94206,-3.9068e-06,-6.4504e-06
0.95237,-1.9854e-05,3.4373e-06
0.96245,-1.5999e-05,5.0584e-07
0.9721,-1.1266e-05,1.4032e-06
0.98487,-2.3907e-05,1.3434e-05
0.9937,-2.6531e-05,-4.5971e-06
1.0025,-1.9107e-05,1.9302e-05
1.0123,-1.9814e-05,6.4832e-06
1.0229,-2.1957e-05,3.6075e-05
1.0322,-1.0183e-05,1.3043e-05
1.0421,-2.441e-05,8.8449e-06
1.0535,-1.2372e-05,7.4503e-06
1.0619,-4.4925e-06,-1.0866e-05
1.0749,-6.6231e-06,8.2955e-06
1.0826,3.654e-06,-4.4629e-06
1.0935,-7.5916e-06,-1.2999e-05
1.1022,-1.0993e-05,1.0838e-05
1.1122,-1.6393e-05,-1.9118e-06
1.1224,1.3832e-05,2.9171e-07
1.132,-1.6528e-05,1.0452e-05
1.1425,-2.4357e-05,1.6396e-05
1.152,-1.5104e-05,-1.0241e-05
1.1625,-5.6125e-06,1.7572e-05
1.1725,4.9112e-06,1.0018e-05
1.1819,-1.102e-05,3.9487e-07
1.1922,-1.9775e-05,1.3124e-05
1.2027,-4.4652e-06,-9.1095e-06
1.2127,4.6116e-06,-3.5246e-06
1.2219,1.2785e-05,-7.5708e-06
1.2321,-1.0275e-05,6.2652e-06
1.2426,2.2745e-05,6.4024e-06
1.2536,-5.7385e-06,2.4879e-06
1.2647,1.3159e-05,5.673e-06
1.2743,2.1286e-05,-6.1978e-06
1.2819,2.8877e-07,1.506e-05
1.2921,-1.1092e-05,2.1727e-05
1.302,-5.7223e-06,4.0979e-06
1.3121,4.1031e-06,-1.8974e-05
1.3221,-1.448e-05,1.7829e-05
1.3319,4.0268e-06,-4.4215e-06
1.3425,-7.1819e-06,1.5665e-06
1.3527,7.2235e-06,8.871e-06
1.3622,-1.4441e-06,-2.4034e-06
1.3722,-3.8624e-06,-9.5754e-07
1.3817,-7.447e-06,1.2885e-05
1.3944,-5.9589e-06,2.7827e-05
1.4022,-8.3268e-06,-7.5587e-06
1.4123,1.4041e-05,1.5403e-06
1.4222,-4.7441e-09,7.9878e-06
1.432,4.2338e-06,-1.0838e-05
1.4418,3.968e-06,7.3404e-06
1.4519,-4.195e-07,-8.7895e-06
1.4627,1.5673e-06,-7.5174e-06
1.4721,-1.3654e-05,-6.081e-06
