x,y,z,gtx,gty
0,0,0,0,0
0,0,0,-1.0785e-05,-3.2157e-06
0,0,0,-1.4526e-05,-1.8492e-05
0,0,0,1.2769e-06,3.4909e-06
0,0,0,-1.4522e-05,1.1595e-06
0,0,0,-1.6678e-05,3.0653e-05
0,0,0,-2.5227e-05,2.3618e-05
0,0,0,1.1557e-05,-1.4137e-06
0,0,0,1.4039e-05,1.1398e-06
0,0,0,-1.3105e-06,1.7647e-05
0,0,0,-7.6447e-06,-1.5979e-05
0,0,0,-1.9386e-05,-5.8632e-06
0,0,0,-1.5384e-05,-4.2208e-06
0,0,0,-1.9263e-05,1.2271e-05
0,0,0,-8.3152e-06,-1.8782e-06
0,0,0,2.0255e-07,2.3156e-05
0,0,0,-1.3781e-05,6.5069e-08
0,0,0,1.8834e-05,-7.1806e-06
0,0,0,4.8277e-06,-1.7044e-05
0,0,0,-2.3031e-05,2.0654e-05
0,0,0,-1.9919e-06,-4.2257e-06
0,0,0,-1.9684e-05,1.5471e-05
-0.00751272,-0.0187087,0.040593,-1.5814e-05,1.7023e-05
-0.0149753,-0.0370106,0.0813803,-5.7739e-07,1.7607e-05
-0.0223856,-0.0549039,0.122358,-1.1789e-05,2.3675e-07
-0.0297414,-0.0723873,0.163522,-5.4847e-06,2.0694e-05
-0.0370404,-0.0894591,0.204868,2.3618e-06,1.0758e-05
-0.0442804,-0.106118,0.246393,5.2423e-07,3.682e-06
-0.0514592,-0.122363,0.288093,-4.0564e-06,-1.5845e-05
-0.0585745,-0.138192,0.329962,-1.5075e-05,4.1324e-06
-0.0656243,-0.153604,0.371998,-6.8328e-06,1.5127e-05
-0.0686646,-0.162975,0.437043,-7.8408e-06,1.0654e-05
-0.0773866,-0.178254,0.477809,1.8471e-05,-8.2629e-06
-0.0854106,-0.192414,0.51957,-3.6402e-06,6.3844e-06
-0.093415,-0.207204,0.561099,-8.0142e-06,1.3041e-05
-0.10186,-0.21969,0.603648,3.0929e-07,-1.4702e-05
-0.110729,-0.232139,0.644998,2.0039e-07,-5.9005e-06
-0.119057,-0.245194,0.684905,-1.9854e-05,3.4373e-06
-0.126661,-0.257981,0.726038,-1.1266e-05,1.4032e-06
-0.133482,-0.271272,0.766909,-2.6531e-05,-4.5971e-06
-0.139273,-0.286085,0.806985,-1.9814e-05,6.4832e-06
-0.144868,-0.301685,0.846472,-1.0183e-05,1.3043e-05
-0.151486,-0.314899,0.8865,-1.2372e-05,7.4503e-06
-0.155488,-0.326816,0.92043,-6.6231e-06,8.2955e-06
-0.159696,-0.337912,0.956146,-7.5916e-06,-1.2999e-05
-0.162917,-0.352809,0.994484,-1.6393e-05,-1.9118e-06
-0.167254,-0.365077,1.03107,-1.6528e-05,1.0452e-05
-0.171679,-0.376437,1.06946,-1.5104e-05,-1.0241e-05
-0.171739,-0.388753,1.10997,4.9112e-06,1.0018e-05
-0.168117,-0.403518,1.14641,-1.9775e-05,1.3124e-05
-0.168523,-0.417316,1.18319,4.6116e-06,-3.5246e-06
-0.175781,-0.422937,1.21585,-1.0275e-05,6.2652e-06
-0.17954,-0.431064,1.24564,-5.7385e-06,2.4879e-06
-0.184253,-0.438311,1.28663,2.1286e-05,-6.1978e-06
-0.188537,-0.443437,1.32633,-1.1092e-05,2.1727e-05
-0.194105,-0.450383,1.36396,4.1031e-06,-1.8974e-05
-0.199609,-0.457859,1.40206,4.0268e-06,-4.4215e-06
-0.20515,-0.46422,1.43805,7.2235e-06,8.871e-06
-0.212157,-0.471547,1.48409,-3.8624e-06,-9.5754e-07
-0.218441,-0.479873,1.52594,-5.9589e-06,2.7827e-05
-0.228517,-0.485193,1.559,1.4041e-05,1.5403e-06
-0.234897,-0.489935,1.59184,4.2338e-06,-1.0838e-05
-0.244011,-0.497637,1.62418,-4.195e-07,-8.7895e-06
-0.251077,-0.503495,1.66629,-1.3654e-05,-6.081e-06
-0.257779,-0.509461,1.70836,-6.8694e-06,1.0185e-05
-0.263667,-0.515508,1.74971,-1.8795e-05,7.3829e-06
-0.268978,-0.522855,1.79149,-5.3574e-06,-6.2529e-06
-0.274511,-0.52944,1.83569,-1.4112e-05,-3.5911e-06
-0.28064,-0.535974,1.8819,-1.8227e-05,-1.5496e-05
-0.28767,-0.54731,1.92676,-1.5755e-05,9.604e-06
-0.278415,-0.558182,1.97106,1.1353e-05,1.2022e-05
-0.259574,-0.566937,2.0194,-2.3207e-06,-3.8989e-07
-0.237971,-0.580501,2.07728,-1.9276e-05,3.7289e-06
-0.218289,-0.58696,2.1397,-9.7312e-06,5.6236e-06
-0.230189,-0.587346,2.18787,-6.436e-06,2.109e-05
-0.228247,-0.593126,2.24159,-1.7202e-06,1.358e-06
-0.233938,-0.594802,2.28764,6.7935e-06,3.224e-06
-0.242671,-0.602817,2.33983,1.2033e-05,-8.482e-06
-0.251948,-0.605105,2.39783,-1.4619e-06,-8.8982e-06
-0.28198,-0.602664,2.43972,6.5544e-07,-7.5744e-06
-0.300762,-0.603752,2.50012,6.2561e-07,8.8263e-06
-0.324954,-0.598295,2.55415,1.8698e-05,1.6547e-05
-0.344358,-0.601253,2.60873,3.0693e-05,-2.0844e-06
-0.3683,-0.588412,2.65672,1.1402e-06,-3.3091e-06
-0.400405,-0.581899,2.70029,-1.7988e-05,7.1538e-06
-0.435115,-0.579588,2.72296,8.3764e-06,-2.0225e-06
-0.467951,-0.576917,2.74414,2.1052e-05,2.9284e-06
-0.499933,-0.573607,2.76611,-5.4863e-07,2.166e-05
-0.528435,-0.570951,2.78514,-3.3633e-06,1.2122e-06
-0.554389,-0.569131,2.80228,-2.5724e-05,1.8879e-05
-0.579252,-0.567567,2.81983,-2.8573e-05,1.1239e-05
-0.604067,-0.565237,2.83693,-1.3933e-05,8.9356e-06
-0.622448,-0.565705,2.8493,-2.1941e-05,-2.3198e-07
-0.628499,-0.569662,2.85069,-4.0652e-05,2.7074e-05
-0.639023,-0.573883,2.85655,-2.2648e-05,-6.6709e-06
-0.661236,-0.569179,2.87222,-1.1204e-05,-9.4047e-07
-0.68349,-0.567633,2.88629,-3.8749e-05,2.4163e-05
-0.707862,-0.5659,2.90122,-1.4052e-06,1.3932e-05
-0.733773,-0.563982,2.91627,-1.4619e-07,4.1684e-06
-0.760385,-0.561226,2.93196,-2.2925e-05,2.5418e-05
-0.790545,-0.557849,2.94853,-9.0951e-06,-6.1285e-07
-0.82221,-0.553206,2.96506,1.3446e-05,1.2546e-05
-0.854091,-0.549321,2.97984,7.6027e-06,-8.078e-06
-0.885699,-0.545648,2.99389,1.4126e-06,-4.7993e-06
-0.918059,-0.540954,3.00732,2.1908e-06,9.8542e-06
-0.94815,-0.537151,3.0183,2.4277e-05,-4.3108e-06
-0.971594,-0.533584,3.03479,1.0204e-05,1.2954e-05
-0.974217,-0.532444,3.04188,-1.6641e-06,-1.487e-05
-0.975548,-0.533885,3.04797,-5.4077e-06,-2.3286e-05
-0.984895,-0.535674,3.05374,6.7538e-06,1.3284e-05
-1.00267,-0.535523,3.06214,-3.3466e-06,1.778e-05
-1.01976,-0.533305,3.07194,-8.7564e-06,-4.668e-06
-1.04765,-0.531713,3.08878,-5.3218e-06,1.9756e-05
-1.08121,-0.529476,3.10655,-1.3936e-05,5.8547e-06
-1.10962,-0.530422,3.11972,-1.2388e-05,-1.7346e-07
-1.1436,-0.5309,3.13402,-2.1359e-05,2.1725e-05
-1.19102,-0.524613,3.15763,-1.6561e-05,2.6536e-05
-1.23927,-0.510285,3.17047,-9.5383e-06,1.8799e-05
-1.27887,-0.500291,3.17974,-4.5664e-06,-5.5014e-06
-1.31648,-0.492028,3.19203,-3.4688e-05,-4.9197e-06
-1.35897,-0.484,3.2096,-1.6097e-05,3.5892e-06
-1.40065,-0.473703,3.22818,-6.3045e-06,-4.2679e-06
-1.43943,-0.467569,3.24463,-1.5256e-05,-7.9963e-06
-1.4798,-0.461635,3.2639,-3.2512e-05,1.9624e-05
-1.5196,-0.455716,3.28054,-1.5101e-05,8.5393e-06
